name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),soup
Oottupura,Yes,No,2.6,166,New BEL Road,Quick Bites,"Kerala, North Indian, Chinese, Rolls, Juices",350,Delivery,Malleshwaram,kerala north indian chinese rolls juices quick bites malleshwaram
Sector 7 Caf,Yes,No,4.3,1101,HSR,Cafe,"Cafe, Continental, Pizza, Salad",700,Delivery,BTM,cafe continental pizza salad cafe btm
Indian Coffee House,No,No,4.0,1217,Church Street,Quick Bites,South Indian,200,Dine-out,Brigade Road,south indian quick bites brigaderoad
Zaika of North,No,No,3.700448817952718,0,Sarjapur Road,Quick Bites,"North Indian, Chinese",500,Delivery,Bellandur,north indian chinese quick bites bellandur
New Priya Sagar,No,No,3.700448817952718,0,Electronic City,Quick Bites,"South Indian, Chinese, Street Food",200,Dine-out,Electronic City,south indian chinese street food quick bites electroniccity
Asharfilal,Yes,No,3.5,10,Bannerghatta Road,Dessert Parlor,Desserts,150,Delivery,Bannerghatta Road,desserts dessert parlor bannerghattaroad
Davanagere Benne Dose Hut,Yes,No,3.4,10,Banashankari,Quick Bites,South Indian,100,Delivery,Banashankari,south indian quick bites banashankari
Lucky's Biriyani Point,Yes,No,3.4,9,HSR,"Takeaway, Delivery","Biryani, South Indian, North Indian, Fast Food",400,Delivery,BTM,biryani south indian north indian fast food takeaway delivery btm
Shammah's,No,No,3.3,21,Hennur,Quick Bites,"Chinese, North Indian",300,Delivery,Kalyan Nagar,chinese north indian quick bites kalyannagar
Keep It Straight Cafe,Yes,Yes,3.9,202,HSR,Cafe,"Cafe, North Indian, Fast Food",500,Delivery,BTM,cafe north indian fast food cafe btm
Shawarma Bae,No,No,3.3,8,BTM,Quick Bites,"Beverages, Fast Food",200,Delivery,BTM,beverages fast food quick bites btm
Rawalpindi Express,No,No,3.4,4,Marathahalli,Quick Bites,North Indian,300,Delivery,Marathahalli,north indian quick bites marathahalli
PurpleBasil.in,Yes,No,4.1,77,Kammanahalli,"Takeaway, Delivery","Healthy Food, Desserts",500,Delivery,Frazer Town,healthy food desserts takeaway delivery frazertown
Hotel Amulya,No,No,3.700448817952718,0,Electronic City,Casual Dining,"North Indian, Chettinad, Chinese",500,Dine-out,Electronic City,north indian chettinad chinese casual dining electroniccity
KrumbKraft,No,No,3.5,5,Domlur,Bakery,"Bakery, European",300,Delivery,Indiranagar,bakery european bakery indiranagar
Goofy's,No,No,3.2,8,Indiranagar,Pub,Finger Food,"1,000",Pubs and bars,Indiranagar,finger food pub indiranagar
Punjab Zone,Yes,No,2.9,120,Bellandur,Quick Bites,North Indian,400,Delivery,Bellandur,north indian quick bites bellandur
Matru Sagar,Yes,No,3.7,31,Mysore Road,Quick Bites,"South Indian, North Indian",300,Delivery,Banashankari,south indian north indian quick bites banashankari
Food n Fit,No,No,3.700448817952718,0,Koramangala 7th Block,Delivery,"North Indian, Chinese",500,Delivery,BTM,north indian chinese delivery btm
South Idlis,Yes,No,4.0,284,Rajajinagar,Quick Bites,South Indian,150,Delivery,Malleshwaram,south indian quick bites malleshwaram
Roll Wala,Yes,No,3.3,7,JP Nagar,"Takeaway, Delivery","Rolls, Juices",300,Delivery,Bannerghatta Road,rolls juices takeaway delivery bannerghattaroad
Cafe 221B,Yes,Yes,3.7,49,BTM,Cafe,"Cafe, Beverages",300,Delivery,Basavanagudi,cafe beverages cafe basavanagudi
Konark Vegetarian Restaurant,No,No,4.1,1022,Residency Road,Casual Dining,"North Indian, Chinese, Continental, South Indian, Street Food, Juices",500,Buffet,Brigade Road,north indian chinese continental south indian street food juices casual dining brigaderoad
Sandwich Shop,Yes,No,2.9,47,JP Nagar,Delivery,"Fast Food, Burger, Sandwich",400,Delivery,Bannerghatta Road,fast food burger sandwich delivery bannerghattaroad
Checkered Bar - MGM Mark,No,No,3.6,19,Whitefield,Lounge,"North Indian, Continental, Chinese","1,300",Dine-out,Brookefield,north indian continental chinese lounge brookefield
Ham Khim Chinese Fast Food,No,No,3.1,7,Electronic City,Quick Bites,Chinese,300,Delivery,Electronic City,chinese quick bites electroniccity
Spotlight - The Golden Tulip,No,Yes,2.5,118,Electronic City,Casual Dining,"North Indian, Chinese, Continental",850,Buffet,Electronic City,north indian chinese continental casual dining electroniccity
Rajsi Rasoi,Yes,No,3.700448817952718,0,South Bangalore,"Takeaway, Delivery","North Indian, Chinese",600,Dine-out,HSR,north indian chinese takeaway delivery hsr
The Chennai Express,No,No,3.8,166,Indiranagar,Quick Bites,"South Indian, Chinese",200,Dine-out,Indiranagar,south indian chinese quick bites indiranagar
Sona Chicken Kabab,No,No,3.2,4,Ulsoor,Quick Bites,North Indian,200,Dine-out,Brigade Road,north indian quick bites brigaderoad
Cafe China,Yes,No,3.7,42,Banaswadi,Quick Bites,Chinese,500,Delivery,Kalyan Nagar,chinese quick bites kalyannagar
Muscat Restaurant,Yes,No,3.0,47,Marathahalli,Quick Bites,"North Indian, Chinese",400,Delivery,Bellandur,north indian chinese quick bites bellandur
Hotel Udupi Gokul Grand,No,No,3.700448817952718,0,Sarjapur Road,Quick Bites,"South Indian, Chinese",100,Dine-out,Sarjapur Road,south indian chinese quick bites sarjapurroad
Sugar Dust - Dessert Amore,No,No,3.700448817952718,0,Bommanahalli,Delivery,"Desserts, Bakery",500,Delivery,HSR,desserts bakery delivery hsr
7 Plates,Yes,No,3.9,169,Frazer Town,Quick Bites,"North Indian, Mughlai, Rolls, Fast Food",600,Delivery,Brigade Road,north indian mughlai rolls fast food quick bites brigaderoad
Ambur Biriyani Centre,No,No,3.3,6,Bellandur,Quick Bites,Biryani,150,Dine-out,Bellandur,biryani quick bites bellandur
Kaapi Kuteera,Yes,No,3.5,86,Kanakapura Road,Quick Bites,South Indian,100,Delivery,JP Nagar,south indian quick bites jpnagar
Kerala Cafe,No,No,3.700448817952718,0,Marathahalli,Quick Bites,Kerala,300,Delivery,Marathahalli,kerala quick bites marathahalli
Dr. Shawarma,Yes,No,3.700448817952718,0,HSR,Quick Bites,"North Indian, Rolls, Street Food",200,Delivery,BTM,north indian rolls street food quick bites btm
BTM,No,No,3.700448817952718,0,BTM,Casual Dining,"North Indian, South Indian",400,Dine-out,BTM,north indian south indian casual dining btm
Charlee's Chicken,Yes,No,3.2,34,Bannerghatta Road,Quick Bites,"Rolls, Chinese, Fast Food",300,Delivery,Bannerghatta Road,rolls chinese fast food quick bites bannerghattaroad
Masala Oota,Yes,No,3.6,79,Residency Road,Quick Bites,"South Indian, Biryani",500,Delivery,Brigade Road,south indian biryani quick bites brigaderoad
Chettinad Food House,No,No,3.1,7,BTM,Quick Bites,"South Indian, Chettinad, North Indian",300,Delivery,BTM,south indian chettinad north indian quick bites btm
Cake House - Story Cafe,No,No,3.9,78,Kalyan Nagar,Quick Bites,"Bakery, Desserts",650,Delivery,Kalyan Nagar,bakery desserts quick bites kalyannagar
Hotel Moonlight,No,No,3.9,115,Malleshwaram,Casual Dining,"Chinese, North Indian",500,Dine-out,Malleshwaram,chinese north indian casual dining malleshwaram
Panky's Kitchen,No,No,3.700448817952718,0,Whitefield,Quick Bites,North Indian,400,Delivery,Brookefield,north indian quick bites brookefield
Food Paradise,No,No,3.3,12,Whitefield,Quick Bites,"North Indian, Chinese, Bengali, Biryani",500,Delivery,Whitefield,north indian chinese bengali biryani quick bites whitefield
Galli Belly,Yes,No,3.4,8,Domlur,Quick Bites,"Sandwich, Rolls",200,Delivery,Indiranagar,sandwich rolls quick bites indiranagar
Anand Vihar,No,No,2.5,58,RT Nagar,Quick Bites,"North Indian, Chinese",,Delivery,Frazer Town,north indian chinese quick bites frazertown
Eat N Meet,Yes,No,2.7,158,Electronic City,Quick Bites,"Kerala, South Indian, North Indian, Chinese, Beverages",500,Delivery,Electronic City,kerala south indian north indian chinese beverages quick bites electroniccity
CHAATter Box,Yes,No,3.4,9,Kumaraswamy Layout,Quick Bites,"South Indian, Chinese, North Indian",250,Delivery,JP Nagar,south indian chinese north indian quick bites jpnagar
Sanman Veg,No,No,3.5,12,Cunningham Road,Quick Bites,"South Indian, North Indian, Chinese",250,Dine-out,Brigade Road,south indian north indian chinese quick bites brigaderoad
Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,Cafe,650,Cafes,Banashankari,cafe cafe banashankari
Cardamom Pods,Yes,No,3.700448817952718,0,Marathahalli,Quick Bites,"North Indian, Chinese",450,Dine-out,Marathahalli,north indian chinese quick bites marathahalli
Sofiya Cakes,No,No,3.700448817952718,0,BTM,Bakery,"Bakery, Desserts",300,Delivery,BTM,bakery desserts bakery btm
Fruit Punch,Yes,No,3.700448817952718,0,CV Raman Nagar,Beverage Shop,"Juices, Beverages",150,Delivery,Marathahalli,juices beverages beverage shop marathahalli
Thalis Of India,Yes,No,3.700448817952718,0,JP Nagar,Delivery,"South Indian, North Indian, Beverages",500,Delivery,Bannerghatta Road,south indian north indian beverages delivery bannerghattaroad
Ivy,Yes,No,3.8,210,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Fast Food",600,Delivery,Banashankari,north indian chinese fast food casual dining banashankari
Delices,Yes,No,3.1,6,Ulsoor,Bakery,"Bakery, Desserts",400,Delivery,Brigade Road,bakery desserts bakery brigaderoad
Vijayalakshmi Veg,Yes,No,3.9,30,Frazer Town,Quick Bites,South Indian,200,Delivery,Brigade Road,south indian quick bites brigaderoad
The Kim Chi Chef,Yes,No,4.0,210,Whitefield,Casual Dining,"Chinese, Thai, Momos",900,Delivery,Whitefield,chinese thai momos casual dining whitefield
Food Box Cafe,No,No,3.6,36,Banashankari,Casual Dining,"Mughlai, North Indian, Chinese",500,Dine-out,Banashankari,mughlai north indian chinese casual dining banashankari
Snack Knack,Yes,No,3.0,36,BTM,Quick Bites,"North Indian, Chinese",200,Delivery,Bannerghatta Road,north indian chinese quick bites bannerghattaroad
Benzys,No,No,3.2,6,BTM,Casual Dining,"Arabian, Chinese, Hyderabadi, Kerala",700,Dine-out,BTM,arabian chinese hyderabadi kerala casual dining btm
Amrutha Mess,No,No,3.4,5,BTM,Quick Bites,Kerala,300,Delivery,BTM,kerala quick bites btm
Cool Bites,Yes,No,3.700448817952718,0,Koramangala 4th Block,Quick Bites,"Fast Food, Juices",200,Delivery,Basavanagudi,fast food juices quick bites basavanagudi
Nandhanu's Rasoi,Yes,No,3.0,175,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian",400,Delivery,Banashankari,chinese north indian quick bites banashankari
New Punjabi Veg Restaurant,Yes,No,2.9,112,Nagawara,Quick Bites,"North Indian, Chinese",400,Delivery,Kalyan Nagar,north indian chinese quick bites kalyannagar
Ulavacharu,Yes,Yes,3.700448817952718,0,Koramangala 5th Block,Casual Dining,"Andhra, North Indian, Chinese",900,Delivery,BTM,andhra north indian chinese casual dining btm
D-Zaprino,Yes,No,3.700448817952718,0,Nagawara,"Takeaway, Delivery","Fast Food, Burger, Pizza",350,Delivery,Kalyan Nagar,fast food burger pizza takeaway delivery kalyannagar
Himalyan Inn Tibet Kitchen,No,No,3.7,42,Indiranagar,Quick Bites,"Chinese, Momos",400,Delivery,Indiranagar,chinese momos quick bites indiranagar
FM Biryani Plaza,No,No,3.700448817952718,0,Hennur,Quick Bites,Biryani,150,Dine-out,Kalyan Nagar,biryani quick bites kalyannagar
Shavaji Hotel,No,No,3.700448817952718,0,JP Nagar,Quick Bites,South Indian,200,Delivery,JP Nagar,south indian quick bites jpnagar
The Rasoiya Street,Yes,Yes,4.1,1318,HSR,Casual Dining,"North Indian, Continental, Mediterranean, Chinese",800,Delivery,BTM,north indian continental mediterranean chinese casual dining btm
Hokey Pokey Ice Creams,No,No,3.9,75,Sarjapur Road,Dessert Parlor,"Ice Cream, Desserts",350,Desserts,Bellandur,ice cream desserts dessert parlor bellandur
Pizza Stop,Yes,No,3.8,164,Basavanagudi,Quick Bites,"Pizza, Italian",600,Delivery,Banashankari,pizza italian quick bites banashankari
Bella?s Kitchen,No,No,2.9,31,Bannerghatta Road,Casual Dining,"Chinese, Seafood, North Indian",600,Delivery,Bannerghatta Road,chinese seafood north indian casual dining bannerghattaroad
Andhra Vantillu,No,No,3.3,4,HSR,Quick Bites,"South Indian, North Indian",350,Delivery,HSR,south indian north indian quick bites hsr
Spice Room,Yes,No,3.700448817952718,0,Kalyan Nagar,Quick Bites,Andhra,400,Delivery,Kalyan Nagar,andhra quick bites kalyannagar
AL Afreen's Biryani Paradise,No,No,3.700448817952718,0,Kalyan Nagar,Quick Bites,"North Indian, Biryani, Chinese",200,Delivery,Kalyan Nagar,north indian biryani chinese quick bites kalyannagar
Suchi Ruchi Veg & Non Veg Resturant,No,No,3.2,4,Bannerghatta Road,Quick Bites,"South Indian, North Indian",400,Dine-out,Bannerghatta Road,south indian north indian quick bites bannerghattaroad
Nivaan's Kitchen,No,No,3.700448817952718,0,Electronic City,"Takeaway, Delivery","Biryani, North Indian",600,Delivery,Electronic City,biryani north indian takeaway delivery electroniccity
5 Degree Centigrade,No,No,3.700448817952718,0,Koramangala 7th Block,Food Court,"Beverages, Ice Cream",150,Desserts,BTM,beverages ice cream food court btm
I-Scoop Cafe,Yes,No,3.700448817952718,0,Jayanagar,Quick Bites,"Fast Food, Pizza, Desserts",300,Delivery,BTM,fast food pizza desserts quick bites btm
M.R.S Hotel,No,No,3.700448817952718,0,Ulsoor,Quick Bites,"South Indian, Chinese",300,Dine-out,Brigade Road,south indian chinese quick bites brigaderoad
Sri Venkateshwara Chat Centre,No,No,3.5,12,Banashankari,Quick Bites,Street Food,100,Dine-out,Banashankari,street food quick bites banashankari
South Point Pub,Yes,No,3.4,11,Basavanagudi,Bar,"North Indian, Seafood, Chinese",800,Delivery,Banashankari,north indian seafood chinese bar banashankari
Cranganore House,No,No,3.4,11,Sarjapur Road,"Takeaway, Delivery",Seafood,400,Delivery,Sarjapur Road,seafood takeaway delivery sarjapurroad
Andhra Spice Mess,Yes,No,3.4,9,New BEL Road,Quick Bites,"Andhra, Biryani, North Indian, Chinese",250,Delivery,New BEL Road,andhra biryani north indian chinese quick bites newbelroad
Dil Punjabi,Yes,No,2.6,158,Marathahalli,Quick Bites,North Indian,300,Delivery,Brookefield,north indian quick bites brookefield
Eatsaa,No,No,3.5,8,New BEL Road,Quick Bites,Chinese,300,Delivery,New BEL Road,chinese quick bites newbelroad
Wok Paper Scissors,Yes,No,4.3,1587,Koramangala 5th Block,Casual Dining,"Asian, Malaysian, Chinese, Thai, Momos",550,Delivery,BTM,asian malaysian chinese thai momos casual dining btm
Roti Land,No,No,3.700448817952718,0,Banashankari,Quick Bites,North Indian,200,Dine-out,Banashankari,north indian quick bites banashankari
UBQ by Barbeque Nation,Yes,No,3.2,9,MG Road,Delivery,"North Indian, BBQ, Biryani, Kebab",450,Delivery,Brigade Road,north indian bbq biryani kebab delivery brigaderoad
Peppermill Bistro,Yes,Yes,4.0,868,New BEL Road,"Casual Dining, Cafe","Continental, European, Mediterranean, Cafe, Steak","1,000",Delivery,Malleshwaram,continental european mediterranean cafe steak casual dining cafe malleshwaram
Donne Biryani Hatti,Yes,No,3.6,27,Vasanth Nagar,Quick Bites,Biryani,300,Delivery,Brigade Road,biryani quick bites brigaderoad
Ghar Ka Chulha,Yes,No,3.1,117,Sarjapur Road,Casual Dining,"North Indian, Chinese",550,Delivery,Bellandur,north indian chinese casual dining bellandur
Minus 4,No,No,3.3,4,Sarjapur Road,Dessert Parlor,Desserts,300,Desserts,Bellandur,desserts dessert parlor bellandur
Protein Grillhouse,Yes,Yes,4.2,166,Jayanagar,Casual Dining,"Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts",800,Delivery,Basavanagudi,healthy food continental juices salad burger beverages desserts casual dining basavanagudi
Whats Ap,No,No,3.3,6,Whitefield,Casual Dining,Andhra,800,Delivery,Brookefield,andhra casual dining brookefield
1Q1,No,Yes,4.3,595,Infantry Road,"Casual Dining, Bar","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese","2,500",Dine-out,Brigade Road,asian japanese thai malaysian vietnamese korean chinese casual dining bar brigaderoad
The Mughal's,Yes,No,3.7,89,Frazer Town,Quick Bites,"Mughlai, North Indian, Chinese",400,Delivery,Brigade Road,mughlai north indian chinese quick bites brigaderoad
Hotel Nalapaka,No,No,4.3,678,Rajajinagar,Casual Dining,South Indian,400,Dine-out,Malleshwaram,south indian casual dining malleshwaram
Stoked!,No,No,4.3,294,Koramangala 4th Block,Cafe,"Cafe, Italian, Pizza",850,Cafes,Koramangala 4th Block,cafe italian pizza cafe koramangala thblock
Samarkand,No,Yes,4.1,2044,Infantry Road,Casual Dining,"North Indian, Mughlai","1,600",Dine-out,Brigade Road,north indian mughlai casual dining brigaderoad
Annalakshmi,No,No,3.5,28,Bellandur,Casual Dining,"Andhra, Chettinad",700,Delivery,Bellandur,andhra chettinad casual dining bellandur
Sandy's Kitchen,No,No,3.700448817952718,0,Marathahalli,Casual Dining,"North Indian, Chinese",500,Dine-out,Marathahalli,north indian chinese casual dining marathahalli
Shiv Sai,No,No,3.2,4,Bannerghatta Road,Quick Bites,North Indian,400,Delivery,Bannerghatta Road,north indian quick bites bannerghattaroad
Bob's Bar,No,No,3.700448817952718,0,Koramangala 7th Block,"Bar, Casual Dining","South Indian, Finger Food","1,000",Dine-out,BTM,south indian finger food bar casual dining btm
Oasis Food Center,No,No,3.700448817952718,0,Basavanagudi,Quick Bites,Fast Food,150,Dine-out,Banashankari,fast food quick bites banashankari
Viceroy's Sarathi,Yes,No,3.8,137,Indiranagar,"Casual Dining, Bar","North Indian, Chinese",750,Delivery,Frazer Town,north indian chinese casual dining bar frazertown
Pizza Da Dhaba,Yes,No,2.9,57,Bannerghatta Road,Quick Bites,"Fast Food, Pizza",400,Delivery,Bannerghatta Road,fast food pizza quick bites bannerghattaroad
Bharjari Oota,No,No,3.9,153,Basavanagudi,Casual Dining,South Indian,350,Dine-out,Banashankari,south indian casual dining banashankari
Happie Hippies,No,No,3.700448817952718,0,Vasanth Nagar,Quick Bites,"Mediterranean, European, Healthy Food",500,Dine-out,Brigade Road,mediterranean european healthy food quick bites brigaderoad
Blue Nile Coffee Shop,No,No,3.700448817952718,0,Seshadripuram,Cafe,Cafe,600,Cafes,Malleshwaram,cafe cafe malleshwaram
90's Cafe,No,No,3.700448817952718,0,JP Nagar,Quick Bites,"Fast Food, Burger",500,Desserts,Jayanagar,fast food burger quick bites jayanagar
One Atria Cafe,No,Yes,3.7,100,Race Course Road,Casual Dining,"South Indian, Continental, North Indian","1,600",Buffet,Brigade Road,south indian continental north indian casual dining brigaderoad
Queen Pearls,Yes,No,3.6,25,Ejipura,"Takeaway, Delivery",Pizza,500,Delivery,BTM,pizza takeaway delivery btm
Angel's Kitchen,No,No,3.5,10,Whitefield,Quick Bites,Kerala,300,Dine-out,Whitefield,kerala quick bites whitefield
Lazeez Khana,No,No,3.700448817952718,0,Shivajinagar,"Takeaway, Delivery","Arabian, North Indian, Fast Food",300,Delivery,Brigade Road,arabian north indian fast food takeaway delivery brigaderoad
Brews N Bites,Yes,No,2.7,48,Bannerghatta Road,"Quick Bites, Cafe","Chinese, Fast Food, Cafe, Street Food, Finger Food",650,Cafes,Bannerghatta Road,chinese fast food cafe street food finger food quick bites cafe bannerghattaroad
MiniMelts,No,No,3.9,66,Brigade Road,Dessert Parlor,"Ice Cream, Desserts",200,Delivery,Brigade Road,ice cream desserts dessert parlor brigaderoad
ChinaMinaMo,No,No,3.700448817952718,0,Marathahalli,Quick Bites,"Chinese, Continental",350,Delivery,Marathahalli,chinese continental quick bites marathahalli
Sri Guru Nalapaka Restaurant,No,No,3.5,20,Whitefield,Casual Dining,"North Indian, South Indian, Chinese, Street Food",550,Delivery,Whitefield,north indian south indian chinese street food casual dining whitefield
Al-Badia Restaurant,No,No,4.2,89,Kammanahalli,Casual Dining,Arabian,700,Dine-out,Kalyan Nagar,arabian casual dining kalyannagar
Salem Kitchen,No,No,3.4,230,Brookefield,Casual Dining,"Chettinad, Chinese, South Indian",550,Delivery,Brookefield,chettinad chinese south indian casual dining brookefield
Dilli Dil Se..,Yes,No,3.8,103,Nagawara,Quick Bites,North Indian,400,Delivery,Kalyan Nagar,north indian quick bites kalyannagar
Tiwari's,Yes,No,3.8,70,Jayanagar,Quick Bites,"North Indian, Street Food",200,Delivery,Banashankari,north indian street food quick bites banashankari
Black Cup Cafe,Yes,No,3.7,20,BTM,Cafe,"Cafe, Fast Food, Beverages",400,Delivery,Basavanagudi,cafe fast food beverages cafe basavanagudi
Eagle Ridge,No,Yes,3.2,8,Bannerghatta Road,Casual Dining,"South Indian, North Indian, Chinese",700,Delivery,Bannerghatta Road,south indian north indian chinese casual dining bannerghattaroad
BEIR,No,No,3.700448817952718,0,Bannerghatta Road,Casual Dining,"Mexican, American",800,Delivery,Bannerghatta Road,mexican american casual dining bannerghattaroad
New Chickpete Donne Biryani,Yes,No,3.5,68,Basavanagudi,Quick Bites,Biryani,250,Delivery,Basavanagudi,biryani quick bites basavanagudi
Jodhpur Jaika,No,No,3.3,4,Bommanahalli,Quick Bites,"North Indian, Street Food",200,Delivery,BTM,north indian street food quick bites btm
Malabar Kitchen,Yes,No,3.2,5,Commercial Street,Quick Bites,"Kerala, North Indian, Chinese",300,Delivery,Brigade Road,kerala north indian chinese quick bites brigaderoad
Chaiywaala Da Dhaba,Yes,No,3.7,67,New BEL Road,Cafe,"Cafe, Tea",250,Cafes,New BEL Road,cafe tea cafe newbelroad
Rangla Punjab,Yes,No,2.9,313,Bellandur,Quick Bites,"North Indian, Chinese",450,Delivery,Bellandur,north indian chinese quick bites bellandur
Fresh 'N' Grills,Yes,No,3.2,234,Electronic City,"Takeaway, Delivery","Sandwich, Salad, North Indian, Chinese",500,Delivery,Electronic City,sandwich salad north indian chinese takeaway delivery electroniccity
Fresh Aahar,Yes,No,3.9,37,Indiranagar,Quick Bites,"Biryani, Mangalorean, Kerala",400,Delivery,Indiranagar,biryani mangalorean kerala quick bites indiranagar
Saarangi Express,No,No,3.4,6,Jayanagar,Quick Bites,"Fast Food, South Indian",250,Dine-out,Basavanagudi,fast food south indian quick bites basavanagudi
Marenahalli Donne Biriyani,Yes,No,3.9,259,JP Nagar,Quick Bites,"Biryani, Fast Food",300,Delivery,Basavanagudi,biryani fast food quick bites basavanagudi
Andhra Paris,Yes,No,3.2,5,Sarjapur Road,Quick Bites,Andhra,250,Delivery,Bellandur,andhra quick bites bellandur
Hotel Green Palace,No,No,3.700448817952718,0,Electronic City,Quick Bites,"North Indian, South Indian, Kerala",200,Delivery,Electronic City,north indian south indian kerala quick bites electroniccity
Cafe Poetry,Yes,No,3.7,55,New BEL Road,Cafe,"Cafe, Beverages, Healthy Food",400,Delivery,Malleshwaram,cafe beverages healthy food cafe malleshwaram
Earth Plate Express,Yes,No,3.9,33,JP Nagar,Food Court,"Italian, Continental",600,Delivery,Bannerghatta Road,italian continental food court bannerghattaroad
Caffe Maven,Yes,No,3.4,25,Residency Road,Quick Bites,"Chinese, North Indian",300,Delivery,Brigade Road,chinese north indian quick bites brigaderoad
Smoodys,No,No,3.0,14,Indiranagar,Quick Bites,"Fast Food, Juices",350,Dine-out,Indiranagar,fast food juices quick bites indiranagar
Kaafi Desi,Yes,No,4.1,515,Marathahalli,Quick Bites,"North Indian, Street Food",150,Delivery,Brookefield,north indian street food quick bites brookefield
Punjabi Park,Yes,No,3.700448817952718,0,"ITPL Main Road, Whitefield",Quick Bites,North Indian,400,Delivery,Brookefield,north indian quick bites brookefield
Khan Saab Hotel,Yes,No,3.1,16,Bommanahalli,Quick Bites,"North Indian, Biryani, Chinese",300,Delivery,BTM,north indian biryani chinese quick bites btm
Quick Bites,No,No,3.700448817952718,0,Whitefield,Quick Bites,"Chinese, Rolls, South Indian",250,Dine-out,Brookefield,chinese rolls south indian quick bites brookefield
Ice Cafe & Lassi Shop,Yes,No,3.7,26,BTM,Beverage Shop,"Beverages, Juices",100,Delivery,BTM,beverages juices beverage shop btm
Vande Matharam,Yes,No,2.3,178,Rajajinagar,Casual Dining,"North Indian, Chinese, South Indian, Street Food",500,Delivery,Malleshwaram,north indian chinese south indian street food casual dining malleshwaram
Shahi Family Restaurant,Yes,No,3.4,69,Ulsoor,Quick Bites,"North Indian, Chinese, South Indian",350,Delivery,Brigade Road,north indian chinese south indian quick bites brigaderoad
Chapter One Bar | Maiin,No,Yes,4.2,997,New BEL Road,"Bar, Casual Dining","Continental, Italian, North Indian","1,400",Buffet,New BEL Road,continental italian north indian bar casual dining newbelroad
Mangalore pearl - Seafood Restaurant,Yes,No,4.3,94,Ulsoor,Casual Dining,"Mangalorean, Seafood",550,Delivery,Brigade Road,mangalorean seafood casual dining brigaderoad
Public Cafe,No,No,3.700448817952718,0,Electronic City,Delivery,Continental,700,Delivery,Electronic City,continental delivery electroniccity
Barleyz,No,No,3.8,4646,Koramangala 6th Block,"Lounge, Microbrewery","North Indian, Continental, Chinese","2,000",Buffet,Koramangala 4th Block,north indian continental chinese lounge microbrewery koramangala thblock
Shrawan Restaurant,Yes,No,3.700448817952718,0,Whitefield,Quick Bites,"North Indian, Chinese",300,Dine-out,Whitefield,north indian chinese quick bites whitefield
Happy Endings,Yes,No,4.3,490,Bellandur,"Bakery, Dessert Parlor","Bakery, Desserts, Italian",500,Delivery,Bellandur,bakery desserts italian bakery dessert parlor bellandur
